timestamp,symbol,buy_exchange,sell_exchange,buy_price,sell_price,amount,net_profit_usd,status,cost_of_buy,amount_bought_net,amount_sold,proceeds_from_sell
1758880236,SOL/USDT,binance,bybit,194.47,223.24,0.1028436262662621484033527022,2.93585231655268164755489278,SUCCESS,20.0,0.1027407826399958862549493495,0.1028436262662621484033527022,22.93585231655268164755489278
1758880240,BTC/USDT,bybit,okx,108981.64724994148,109499.2,0.0001835171380198672802031529454,0.07488481966558623713266392,SUCCESS,20.0,0.0001833336208818474129229497925,0.0001835171380198672802031529454,20.07488481966558623713266392
1758882931,BTC/USDT,binance,okx,108931.45,109389.1,0.0001836017054762421688135061087,0.06394129519069102632894358,SUCCESS,20.0,0.0001834181037707659266446926026,0.0001836017054762421688135061087,20.06394129519069102632894358
1758882938,BTC/USDT,binance,okx,108931.45,109264.7,0.0001836017054762421688135061087,0.04112408308160774505434382,SUCCESS,20.0,0.0001834181037707659266446926026,0.0001836017054762421688135061087,20.04112408308160774505434382
1758882944,BTC/USDT,binance,okx,108946.9,109411.72813727308,0.0001835756685137438513624527178,0.06524580490786005292486523,SUCCESS,20.0,0.0001833920928452301075110902651,0.0001835756685137438513624527178,20.06524580490786005292486523
1758882951,BTC/USDT,binance,okx,108946.9,109363.7,0.0001835756685137438513624527178,0.05643782429789190881062242,SUCCESS,20.0,0.0001833920928452301075110902651,0.0001835756685137438513624527178,20.05643782429789190881062242
1758882958,BTC/USDT,binance,okx,108930.01,109366.5,0.0001836041325985373543984802719,0.06006122647009763425157127,SUCCESS,20.0,0.0001834205284659388170440817916,0.0001836041325985373543984802719,20.06006122647009763425157127
1758882964,BTC/USDT,binance,okx,108930.01,109366.5,0.0001836041325985373543984802719,0.06006122647009763425157127,SUCCESS,20.0,0.0001834205284659388170440817916,0.0001836041325985373543984802719,20.06006122647009763425157127
1758882970,BTC/USDT,binance,okx,108930.01,109272.4,0.0001836041325985373543984802719,0.04280135474145279156772316,SUCCESS,20.0,0.0001834205284659388170440817916,0.0001836041325985373543984802719,20.04280135474145279156772316
1758882977,BTC/USDT,binance,okx,108918.68,109280.4,0.0001836232315705625518047042068,0.04635377512838018235255880,SUCCESS,20.0,0.0001834396083389919892528995026,0.0001836232315705625518047042068,20.04635377512838018235255880
1758882984,BTC/USDT,binance,okx,108918.68,109282.4,0.0001836232315705625518047042068,0.04672065434505816633106460,SUCCESS,20.0,0.0001834396083389919892528995026,0.0001836232315705625518047042068,20.04672065434505816633106460
1758882992,BTC/USDT,binance,okx,108860.01,109282.4,0.0001837221951385086222204094966,0.05752481558655010228273909,SUCCESS,20.0,0.0001835384729433701135981890871,0.0001837221951385086222204094966,20.05752481558655010228273909
1758882998,BTC/USDT,binance,okx,108860.01,109284.0,0.0001837221951385086222204094966,0.05781847714325949446449620,SUCCESS,20.0,0.0001835384729433701135981890871,0.0001837221951385086222204094966,20.05781847714325949446449620
1758883006,BTC/USDT,binance,okx,108860.01,109284.1,0.0001837221951385086222204094966,0.05783683099055383147585602,SUCCESS,20.0,0.0001835384729433701135981890871,0.0001837221951385086222204094966,20.05783683099055383147585602
1758883012,BTC/USDT,binance,okx,108832.53,109284.1,0.0001837685846318191812686886908,0.06290139538242839709781625,SUCCESS,20.0,0.0001835848160471873620874200021,0.0001837685846318191812686886908,20.06290139538242839709781625
1758883019,BTC/USDT,binance,okx,108832.53,109284.1,0.0001837685846318191812686886908,0.06290139538242839709781625,SUCCESS,20.0,0.0001835848160471873620874200021,0.0001837685846318191812686886908,20.06290139538242839709781625
1758883026,BTC/USDT,binance,okx,108844.29,109284.1,0.0001837487294923785161352974970,0.06073371418932495218628372,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.06073371418932495218628372
1758883034,BTC/USDT,binance,okx,108844.29,109285.6,0.0001837487294923785161352974970,0.06100906166046928139271247,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.06100906166046928139271247
1758883041,BTC/USDT,binance,okx,109009.10422583856,109285.6,0.0001834709141225965214122770713,0.03067820350399796605309355,SUCCESS,20.0,0.0001832874432084739248908647942,0.0001834709141225965214122770713,20.03067820350399796605309355
1758883047,BTC/USDT,binance,okx,109009.15000131424,109285.6,0.0001834708370788954439794955969,0.03066979215666659663299844,SUCCESS,20.0,0.0001832873662418165485355161013,0.0001834708370788954439794955969,20.03066979215666659663299844
1758883054,BTC/USDT,binance,okx,108843.24,109285.6,0.0001837505020982469834598823041,0.06120258823607235506771022,SUCCESS,20.0,0.0001835667515961487364764224218,0.0001837505020982469834598823041,20.06120258823607235506771022
1758883061,BTC/USDT,binance,okx,108843.24,109285.6,0.0001837505020982469834598823041,0.06120258823607235506771022,SUCCESS,20.0,0.0001835667515961487364764224218,0.0001837505020982469834598823041,20.06120258823607235506771022
1758883068,BTC/USDT,binance,okx,108843.24,109219.0,0.0001837505020982469834598823041,0.04897704257976884921838048,SUCCESS,20.0,0.0001835667515961487364764224218,0.0001837505020982469834598823041,20.04897704257976884921838048
1758883075,BTC/USDT,binance,okx,108844.29,109230.6,0.0001837487294923785161352974970,0.05091298771851054382365855,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.05091298771851054382365855
1758883083,BTC/USDT,binance,okx,108844.29,109230.6,0.0001837487294923785161352974970,0.05091298771851054382365855,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.05091298771851054382365855
1758883091,BTC/USDT,binance,okx,108849.95,109188.7,0.0001837391748916742727029272866,0.04217940384906010521823850,SUCCESS,20.0,0.0001835554357167825984302243593,0.0001837391748916742727029272866,20.04217940384906010521823850
1758883097,BTC/USDT,binance,okx,108849.95,109211.4,0.0001837391748916742727029272866,0.04634611223983107020260460,SUCCESS,20.0,0.0001835554357167825984302243593,0.0001837391748916742727029272866,20.04634611223983107020260460
1758883105,BTC/USDT,binance,okx,108845.06,109211.9,0.0001837474296031441390174253200,0.04733850116854177856119516,SUCCESS,20.0,0.0001835636821735409948784078947,0.0001837474296031441390174253200,20.04733850116854177856119516
1758883111,BTC/USDT,binance,okx,108845.06,109211.9,0.0001837474296031441390174253200,0.04733850116854177856119516,SUCCESS,20.0,0.0001835636821735409948784078947,0.0001837474296031441390174253200,20.04733850116854177856119516
1758883117,BTC/USDT,binance,okx,108838.13,109225.8,0.0001837591292683915094829358057,0.05116666374183385914476848,SUCCESS,20.0,0.0001835753701391231179734528699,0.0001837591292683915094829358057,20.05116666374183385914476848
1758883124,BTC/USDT,binance,okx,108838.13,109226.1,0.0001837591292683915094829358057,0.05122173635287559608016052,SUCCESS,20.0,0.0001835753701391231179734528699,0.0001837591292683915094829358057,20.05122173635287559608016052
1758883131,BTC/USDT,binance,okx,108844.29,109186.0,0.0001837487294923785161352974970,0.04272598957648582208584392,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.04272598957648582208584392
1758883139,BTC/USDT,binance,okx,108844.29,109211.8,0.0001837487294923785161352974970,0.04746196608016828443641830,SUCCESS,20.0,0.0001835649807628861376191621995,0.0001837487294923785161352974970,20.04746196608016828443641830
1758883146,BTC/USDT,binance,okx,108836.32,109211.9,0.0001837621852705052872055946030,0.04894838414235247939290854,SUCCESS,20.0,0.0001835784230852347819183890084,0.0001837621852705052872055946030,20.04894838414235247939290854
1758883153,BTC/USDT,binance,okx,108836.32,109211.9,0.0001837621852705052872055946030,0.04894838414235247939290854,SUCCESS,20.0,0.0001835784230852347819183890084,0.0001837621852705052872055946030,20.04894838414235247939290854
1758883154,ETH/USDT,okx,binance,3877.75192923491,3890.0,0.005157627502991417304578249147,0.04310781564997670149457979,SUCCESS,20.0,0.005152469875488425887273670898,0.005157627502991417304578249147,20.04310781564997670149457979
1758883176,BTC/USDT,binance,okx,108876.0,109225.9,0.0001836952129027517542892832213,0.04421068003967816598699438,SUCCESS,20.0,0.0001835115176898490025349939381,0.0001836952129027517542892832213,20.04421068003967816598699438
1758883192,ETH/USDT,binance,okx,3891.77,3899.99,0.005139049841074883664759222667,0.02220074670394190818059649,SUCCESS,20.0,0.005133910791233808781094463444,0.005139049841074883664759222667,20.02220074670394190818059649
1758883198,BTC/USDT,binance,okx,108894.98,109225.9,0.0001836631954934929048152632931,0.04071704682805396538940546,SUCCESS,20.0,0.0001834795322979994119104480298,0.0001836631954934929048152632931,20.04071704682805396538940546
1758883204,BTC/USDT,binance,okx,108894.98,109140.0,0.0001836631954934929048152632931,0.02495615500365581590629797,SUCCESS,20.0,0.0001834795322979994119104480298,0.0001836631954934929048152632931,20.02495615500365581590629797
1758883210,BTC/USDT,binance,okx,108894.98,109189.0,0.0001836631954934929048152632931,0.03394665208625778708990993,SUCCESS,20.0,0.0001834795322979994119104480298,0.0001836631954934929048152632931,20.03394665208625778708990993
1758883216,BTC/USDT,binance,okx,108894.98,109189.0,0.0001836631954934929048152632931,0.03394665208625778708990993,SUCCESS,20.0,0.0001834795322979994119104480298,0.0001836631954934929048152632931,20.03394665208625778708990993
1758883223,BTC/USDT,binance,okx,108896.0,109207.5,0.0001836614751689685571554510726,0.03715333896561857184836909,SUCCESS,20.0,0.0001834778136937995885982956215,0.0001836614751689685571554510726,20.03715333896561857184836909
1758883230,BTC/USDT,binance,okx,108896.0,109211.9,0.0001836614751689685571554510726,0.03796064134587129003820159,SUCCESS,20.0,0.0001834778136937995885982956215,0.0001836614751689685571554510726,20.03796064134587129003820159
1758883231,ETH/USDT,binance,okx,3891.21,3926.315743514725,0.005139789422827346763603095181,0.16025569306827580624021834,SUCCESS,20.0,0.005134649633404519416839492086,0.005139789422827346763603095181,20.16025569306827580624021834
1758883298,BTC/USDT,binance,okx,108870.72,109187.5,0.0001837041217326384908632918015,0.03813559789078275591453791,SUCCESS,20.0,0.0001835204176109058523724285097,0.0001837041217326384908632918015,20.03813559789078275591453791
1758883305,BTC/USDT,binance,okx,108876.97,109189.0,0.0001836935763366669737410951095,0.03726058871770586562061748,SUCCESS,20.0,0.0001835098827603303067673540144,0.0001836935763366669737410951095,20.03726058871770586562061748
1758883312,BTC/USDT,binance,okx,108876.97,109189.0,0.0001836935763366669737410951095,0.03726058871770586562061748,SUCCESS,20.0,0.0001835098827603303067673540144,0.0001836935763366669737410951095,20.03726058871770586562061748
1758883318,BTC/USDT,binance,okx,108861.66,109189.0,0.0001837194104885044009066185469,0.04007857311747772356217975,SUCCESS,20.0,0.0001835356910780158965057119284,0.0001837194104885044009066185469,20.04007857311747772356217975
1758883324,BTC/USDT,binance,okx,108861.66,109189.0,0.0001837194104885044009066185469,0.04007857311747772356217975,SUCCESS,20.0,0.0001835356910780158965057119284,0.0001837194104885044009066185469,20.04007857311747772356217975
1758883331,BTC/USDT,binance,okx,108861.66,109189.0,0.0001837194104885044009066185469,0.04007857311747772356217975,SUCCESS,20.0,0.0001835356910780158965057119284,0.0001837194104885044009066185469,20.04007857311747772356217975
1758883338,BTC/USDT,binance,okx,108840.01,109199.9,0.0001837559551859651611571884273,0.04606579878116512484701168,SUCCESS,20.0,0.0001835721992307791959960312389,0.0001837559551859651611571884273,20.04606579878116512484701168
1758883344,BTC/USDT,binance,okx,108840.01,109226.1,0.0001837559551859651611571884273,0.05087539040101153978210770,SUCCESS,20.0,0.0001835721992307791959960312389,0.0001837559551859651611571884273,20.05087539040101153978210770
1758883367,BTC/USDT,binance,okx,108849.95,109230.5,0.0001837391748916742727029272866,0.04985202106202161783262188,SUCCESS,20.0,0.0001835554357167825984302243593,0.0001837391748916742727029272866,20.04985202106202161783262188
1758883389,BTC/USDT,binance,okx,108840.02,109230.5,0.0001837559383028411791912570395,0.05168126576970493022695145,SUCCESS,20.0,0.0001835721823645383380120657825,0.0001837559383028411791912570395,20.05168126576970493022695145
1758883411,BTC/USDT,binance,okx,108840.01,109230.5,0.0001837559551859651611571884273,0.05168310807762696824449024,SUCCESS,20.0,0.0001835721992307791959960312389,0.0001837559551859651611571884273,20.05168310807762696824449024
1758883431,BTC/USDT,binance,okx,108840.01,109189.0,0.0001837559551859651611571884273,0.04406486180954963161065494,SUCCESS,20.0,0.0001835721992307791959960312389,0.0001837559551859651611571884273,20.04406486180954963161065494
1758883452,BTC/USDT,binance,okx,108840.01,109211.9,0.0001837559551859651611571884273,0.04826866517193447519896405,SUCCESS,20.0,0.0001835721992307791959960312389,0.0001837559551859651611571884273,20.04826866517193447519896405
1758883475,BTC/USDT,binance,okx,108840.02,109211.9,0.0001837559383028411791912570395,0.04826682317772451713992703,SUCCESS,20.0,0.0001835721823645383380120657825,0.0001837559383028411791912570395,20.04826682317772451713992703
1758883497,BTC/USDT,binance,okx,108840.02,109224.4,0.0001837559383028411791912570395,0.05056147545728124636507785,SUCCESS,20.0,0.0001835721823645383380120657825,0.0001837559383028411791912570395,20.05056147545728124636507785
1758883518,BTC/USDT,binance,okx,108825.80156600036,109189.0,0.0001837799465953894891729652859,0.04668184021517895037359969,SUCCESS,20.0,0.0001835961666487940996837923206,0.0001837799465953894891729652859,20.04668184021517895037359969
1758892542,BTC/USDT,binance,okx,109177.03,109447.2,0.0001831887165276432231212004943,0.02944260344872909622106409,SUCCESS,20.0,0.0001830055278111155798980792938,0.0001831887165276432231212004943,20.02944260344872909622106409
1758892552,BTC/USDT,binance,okx,109177.03,109447.2,0.0001831887165276432231212004943,0.02944260344872909622106409,SUCCESS,20.0,0.0001830055278111155798980792938,0.0001831887165276432231212004943,20.02944260344872909622106409
1758892910,ETH/USDT,binance,okx,3929.44,3937.61,0.005089783785984771366912333564,0.02154194999796408648560609,SUCCESS,20.0,0.005084694002198786595545421230,0.005089783785984771366912333564,20.02154194999796408648560609
1758893343,ETH/USDT,binance,okx,3909.45,3919.28,0.005115809129161390988502218982,0.03023811533591681694355983,SUCCESS,20.0,0.005110693320032229597513716763,0.005115809129161390988502218982,20.03023811533591681694355983
1758988276,BTC/USDT,binance,bybit,109402.84,114828.61,0.0001828106107665943589764214530,0.97089643925148561042839472,SUCCESS,20.0,0.0001826278001558277646174450315,0.0001828106107665943589764214530,20.97089643925148561042839472
1758988295,ETH/USDT,okx,bybit,4019.44,4464.665375457713,0.004975817526819656469557948371,2.19314486636076312620663575,SUCCESS,20.0,0.004970841709292836813088390423,0.004975817526819656469557948371,22.19314486636076312620663575
1758988297,SOL/USDT,binance,bybit,203.52,223.24,0.09827044025157232704402515723,1.91595518867924528301886792,SUCCESS,20.0,0.09817216981132075471698113207,0.09827044025157232704402515723,21.91595518867924528301886792
1758988313,BTC/USDT,binance,bybit,109386.85,114837.27497537874,0.0001828373337380132986734694344,0.97554462906708827615019538,SUCCESS,20.0,0.0001826544964042752853747959650,0.0001828373337380132986734694344,20.97554462906708827615019538
1758988331,ETH/USDT,okx,bybit,4018.575036256115,4112.58615752844,0.004976888528783799520534954417,0.44741498816729859123763599,SUCCESS,20.0,0.004971911640255015721014419463,0.004976888528783799520534954417,20.44741498816729859123763599
1758988333,SOL/USDT,binance,bybit,203.47,223.24,0.09829458888288199734604610016,1.92134073819236251044380007,SUCCESS,20.0,0.09819629429399911534870005406,0.09829458888288199734604610016,21.92134073819236251044380007
1758988349,BTC/USDT,binance,bybit,109382.96,114840.7549818933,0.0001828438360051693609315381482,0.97692624644851569202369364,SUCCESS,20.0,0.0001826609921691641915706066101,0.0001828438360051693609315381482,20.97692624644851569202369364
1758988369,ETH/USDT,binance,bybit,4019.51,4111.21,0.004975730872668559102975238275,0.43581824650268316287308652,SUCCESS,20.0,0.004970755141795890543872263037,0.004975730872668559102975238275,20.43581824650268316287308652
